"","country","year","pop","continent","lifeExp","gdpPercap","newcol"
"25","Algeria",1952,9279525,"Africa",43.077,2449.008185,22725632677.9121
"26","Algeria",1957,10270856,"Africa",45.685,3013.976023,30956113719.6857
"27","Algeria",1962,11000948,"Africa",48.303,2550.81688,28061403854.4022
"28","Algeria",1967,12760499,"Africa",51.407,3246.991771,41433235246.8537
"29","Algeria",1972,14760787,"Africa",54.518,4182.663766,61739408942.5438
"30","Algeria",1977,17152804,"Africa",58.014,4910.416756,84227416173.9838
"31","Algeria",1982,20033753,"Africa",61.368,5745.160213,115097120652.669
"32","Algeria",1987,23254956,"Africa",65.799,5681.358539,132119742844.669
"33","Algeria",1992,26298373,"Africa",67.744,5023.216647,132102425042.615
"34","Algeria",1997,29072015,"Africa",69.152,4797.295051,139467033682.098
"35","Algeria",2002,31287142,"Africa",70.994,5288.040382,165447670333.368
"36","Algeria",2007,33333216,"Africa",72.301,6223.367465,207444851958.217
